lag_hours,acf_median,acf_mean,acf_p25,acf_p75
154,0.06728587127663203,0.08939645665708303,0.056831390608347174,0.09844598176895983
155,0.06577988560500447,0.08771519391500517,0.05412425069382636,0.09857139495019962
156,0.06521736192281921,0.08712313964843238,0.05425129162928642,0.09831865375900974
157,0.06616771088624585,0.0871729585000579,0.05569068250928261,0.09684502458631901
158,0.06621695048281466,0.08734435208315301,0.056367155224264415,0.09442744102829914
159,0.06673347500069439,0.08839185895905771,0.05823069319642516,0.09292503059535609
160,0.06998459402281831,0.09087359378840651,0.06113061531689317,0.09266175457349816
161,0.07412072743297779,0.09367579538211923,0.06351330443473995,0.09729746682979465
162,0.07686686348391833,0.09654790371886131,0.06622294767044341,0.10287256408745021
163,0.07943837523486473,0.10048818474358802,0.07000229409387787,0.1102347713607001
164,0.08393534047500034,0.10606469187148705,0.0754770595212719,0.11910360257262415
165,0.0913467640440975,0.11366228585675146,0.08003549617624807,0.12612536087034637
166,0.10172781618546614,0.12281346937055695,0.08647157065722494,0.1372058538156283
167,0.11048872456938755,0.13153924006238543,0.09315402696826357,0.15256256707279492
168,0.11567445006030057,0.1360507390703741,0.09672620067525013,0.16078252171076554
